property_type,city,locality,area_sqft,bedrooms,bathrooms,floor,parking,age,furnishing,price
Apartment,Pune,Baner,750,1,1,0,0,1,Unfurnished,6722000
Apartment,Mumbai,Andheri,778,2,2,1,1,2,Semi-Furnished,8112400
Apartment,Bengaluru,Whitefield,806,3,3,2,2,3,Unfurnished,9502800
Apartment,Pune,Wakad,834,4,1,3,0,4,Semi-Furnished,9273200
Apartment,Mumbai,Baner,862,1,2,4,1,5,Unfurnished,8063600
Apartment,Bengaluru,Andheri,890,2,3,5,2,6,Semi-Furnished,9454000
Apartment,Pune,Whitefield,918,3,1,6,0,7,Unfurnished,9224400
Apartment,Mumbai,Wakad,946,4,2,7,1,8,Semi-Furnished,10614800
Apartment,Bengaluru,Baner,974,1,3,8,2,9,Unfurnished,9405200
Apartment,Pune,Andheri,1002,2,1,9,0,10,Semi-Furnished,9175600
Apartment,Mumbai,Whitefield,1030,3,2,10,1,11,Unfurnished,10566000
Apartment,Bengaluru,Wakad,1058,4,3,11,2,12,Semi-Furnished,11956400
Apartment,Pune,Baner,1086,1,1,12,0,13,Unfurnished,9126800
Apartment,Mumbai,Andheri,1114,2,2,13,1,14,Semi-Furnished,10517200
Apartment,Bengaluru,Whitefield,1142,3,3,14,2,15,Unfurnished,11907600
Apartment,Pune,Wakad,1170,4,1,15,0,16,Semi-Furnished,11678000
Apartment,Mumbai,Baner,1198,1,2,16,1,17,Unfurnished,10468400
Apartment,Bengaluru,Andheri,1226,2,3,17,2,18,Semi-Furnished,11858800
Apartment,Pune,Whitefield,1254,3,1,0,0,19,Unfurnished,11629200
Apartment,Mumbai,Wakad,1282,4,2,1,1,20,Semi-Furnished,13019600
Apartment,Bengaluru,Baner,1310,1,3,2,2,21,Unfurnished,11810000
Apartment,Pune,Andheri,1338,2,1,3,0,22,Semi-Furnished,11580400
Apartment,Mumbai,Whitefield,1366,3,2,4,1,1,Unfurnished,13366800
Apartment,Bengaluru,Wakad,1394,4,3,5,2,2,Semi-Furnished,14757200
Apartment,Pune,Baner,1422,1,1,6,0,3,Unfurnished,11927600
Apartment,Mumbai,Andheri,1450,2,2,7,1,4,Semi-Furnished,13318000
Apartment,Bengaluru,Whitefield,1478,3,3,8,2,5,Unfurnished,14708400
Apartment,Pune,Wakad,1506,4,1,9,0,6,Semi-Furnished,14478800
Apartment,Mumbai,Baner,1534,1,2,10,1,7,Unfurnished,13269200
Apartment,Bengaluru,Andheri,1562,2,3,11,2,8,Semi-Furnished,14659600
Apartment,Pune,Whitefield,1590,3,1,12,0,9,Unfurnished,14430000
Apartment,Mumbai,Wakad,1618,4,2,13,1,10,Semi-Furnished,15820400
Apartment,Bengaluru,Baner,1646,1,3,14,2,11,Unfurnished,14610800
Apartment,Pune,Andheri,1674,2,1,15,0,12,Semi-Furnished,14381200
Apartment,Mumbai,Whitefield,1702,3,2,16,1,13,Unfurnished,15771600
Apartment,Bengaluru,Wakad,1730,4,3,17,2,14,Semi-Furnished,17162000
Apartment,Pune,Baner,1758,1,1,0,0,15,Unfurnished,14332400
Apartment,Mumbai,Andheri,1786,2,2,1,1,16,Semi-Furnished,15722800
Apartment,Bengaluru,Whitefield,1814,3,3,2,2,17,Unfurnished,17113200
Apartment,Pune,Wakad,1842,4,1,3,0,18,Semi-Furnished,16883600
