area_sqft,bedrooms,bathrooms,location,price
600,1,1,Central,3700000
635,2,2,North,4462000
670,3,3,South,5224000
705,4,1,Central,5446000
740,1,2,North,4608000
775,2,3,South,5370000
810,3,1,Central,5592000
845,4,2,North,6354000
880,1,3,South,5516000
915,2,1,Central,5738000
950,3,2,North,6500000
985,4,3,South,7262000
1020,1,1,Central,5884000
1055,2,2,North,6646000
1090,3,3,South,7408000
1125,4,1,Central,7630000
1160,1,2,North,6792000
1195,2,3,South,7554000
1230,3,1,Central,7776000
1265,4,2,North,8538000
1300,1,3,South,7700000
1335,2,1,Central,7922000
1370,3,2,North,8684000
1405,4,3,South,9446000
1440,1,1,Central,8068000
1475,2,2,North,8830000
1510,3,3,South,9592000
1545,4,1,Central,9814000
1580,1,2,North,8976000
1615,2,3,South,9738000
1650,3,1,Central,9960000
1685,4,2,North,10722000
1720,1,3,South,9884000
1755,2,1,Central,10106000
1790,3,2,North,10868000
