customer_id,product,quantity,sales,discount
C1000,Laptop,1,300,0
C1001,Phone,2,327,0.05
C1002,Monitor,3,354,0.1
C1003,Laptop,4,381,0.15000000000000002
C1004,Phone,5,408,0
C1005,Monitor,1,435,0.05
C1006,Laptop,2,462,0.1
C1007,Phone,3,489,0.15000000000000002
C1008,Monitor,4,516,0
C1009,Laptop,5,543,0.05
C1010,Phone,1,570,0.1
C1011,Monitor,2,597,0.15000000000000002
C1012,Laptop,3,624,0
C1013,Phone,4,651,0.05
C1014,Monitor,5,678,0.1
C1015,Laptop,1,705,0.15000000000000002
C1016,Phone,2,732,0
C1017,Monitor,3,759,0.05
C1018,Laptop,4,786,0.1
C1019,Phone,5,813,0.15000000000000002
